id	birthdate	gender_id	country_id
1525579	1961-07-22	1	1
2655566	1957-07-26	1	1
3758656	1950-06-28	3	1
4061791	1952-03-18	3	1
3930330	1947-08-11	1	1
4286127	1942-08-14	1	2
4567590	1989-12-06	1	1
4652613	1975-04-29	3	1
4788319	1974-12-11	1	1
5025107	1979-01-28	3	1
5016720	1938-08-03	1	1
5044590	1968-06-20	1	1
5375021	1970-05-23	1	1
5390422	1946-02-14	3	1
5610861	1963-06-22	3	1
5575491	1959-12-08	3	1
5719556	1953-09-07	1	1
5759898	1974-12-25	1	1
5792934	1969-09-16	3	3
1923126	1962-02-16	3	1
1941991	1960-01-07	3	1
2835270	1973-02-05	1	1
1902891	1952-07-14	3	1
2314963	1946-03-16	3	2
503362	1950-08-29	3	2
954227	1964-03-13	1	1
2813783	1950-09-15	1	1
3786517	1982-10-22	3	1
3905528	1975-02-04	1	2
4108444		1	3
3197824	1960-08-23	1	1
3242247	1991-04-07	3	1
3172357	1947-03-07	3	1
3285938	1977-02-15	3	2
3526228	1947-07-07	3	2
4113146	1973-06-14	3	1
3929929	1954-04-22	3	1
3930378	1972-03-22	3	1
4080410	1952-10-31	1	2
4299872	1962-09-19	3	1
4712811	1947-04-01	3	2
5156006	1979-05-07	1	1
5156505	1971-10-03	3	2
6247894	1957-12-05	3	1
6313903	1976-09-02	3	1
6354423	1943-12-10	1	1
6368984	1981-11-18	3	2
6449394	1972-10-22	3	1
1246752	1954-02-07	3	1
2611935	1971-12-03	3	1
2789642	1973-05-01	1	1
6022592	1980-10-08	3	1
6050380	1970-12-08	3	1
6086283	1952-02-28	3	2
4735230	1965-11-23	3	1
5158537	1950-11-29	3	2
5687173	1953-06-01	3	1
5808956	1977-03-18	3	1
6090414	1953-12-21	3	2
6147830	1937-10-03	3	1
6183386	1969-12-05	3	1
6214011	1977-05-10	1	4
6224127	1973-07-17	3	1
6234826	1995-10-11	1	1
6283683	1956-10-09	3	1
4669883	1942-02-14	1	1
6574918	1962-11-11	3	1
6603811	1958-01-14	3	1
6619076	1985-01-06	1	1
3212596	1974-11-22	1	1
6130484	1945-02-14	1	2
4676884	1956-11-09	3	2
4924173	1989-07-07	3	1
6320651	1975-03-27	1	1
4890657	1979-10-26	1	1
5296953	1960-05-24	1	2
6361626	1951-09-07	3	1
6377329	1978-03-12	3	2
6445218	1951-05-18	1	1
5546625	1966-11-23	1	1
6762823	1967-08-03	3	4
5575956	1958-08-31	3	2
5677233	1973-11-07	1	1
5682361	1987-09-18	1	1
5810942	1974-11-15	3	1
5339151	1977-09-13	3	2
5985256	1982-12-30	3	2
6119054	1968-03-03	3	1
6142770	1958-07-08	3	1
6149454	1950-09-04	1	1
5577229	1965-07-21	3	3
6026297	1973-08-16	1	3
6639988	1965-01-26	1	1
6714418	1960-04-23	1	1
6799336	1984-08-07	3	1
6280913	1986-04-05	1	1
6320779	1991-05-14	3	1
6329644	1967-08-09	1	1
5735509	1976-09-21	3	1
5918929	1989-05-06	3	1
6815449	1949-07-07	3	2
6858159	1946-05-31	3	3
6937229	1953-03-26	3	2
6880386	1947-08-08	3	2
6883204	1967-12-21	1	1
6997740	1984-03-21	1	1
7007883	1948-07-31	3	1
5413486	1945-07-20	1	1
5445764	1962-11-24	3	2
6431780	1966-12-29	1	2
7190095	1960-01-21	1	1
6216028	1950-08-30	3	1
6225651	1940-06-02	1	1
6699927	1962-05-02	1	1
6775354	1976-04-29	3	1
7309528	1980-01-02	3	1
6461006	1983-01-30	1	1
6503002	1974-02-09	3	2
6547379	1950-01-12	1	1
6589074	1955-02-05	1	2
4373245	1964-07-28	3	1
6858710	1947-08-12	1	1
7050949	1966-08-24	3	1
4819630	1964-10-31	3	1
4847274	1949-08-27	3	2
4997750	1948-06-21	1	1
5155829	1990-12-20	1	1
5335188	1976-02-21	1	1
7119053	1976-01-07	3	1
5572392	1976-01-30	3	2
5675009	1956-02-14	1	1
6945938	1958-07-08	3	1
6991550	1962-12-13	3	1
7031633	1989-03-26	3	1
7262127	1971-08-09	1	1
5744887	1954-12-03	3	1
6034383	1961-09-17	1	1
7350675	1957-10-26	1	1
7352224	1964-10-30	3	1
5721911	1969-03-09	3	1
5853670	1956-01-03	1	3
7356076	1957-03-01	1	1
6076971	1963-09-08	3	2
6160021	1947-11-12	1	2
6163271	1967-05-15	3	1
6313871	1963-10-29	3	1
6449254	1970-08-13	1	1
6473727	1984-12-03	3	1
6484545	1965-05-14	3	1
6573590	1991-04-21	3	1
6600342	1974-05-05	1	1
6774605	1985-01-03	3	1
6807485	1977-07-29	3	1
6836435	1958-11-29	3	1
6846980	1945-02-09	1	1
6709859	1968-07-26	3	2
6788676	1960-07-30	1	2
6783496	1959-07-25	3	1
6821903	1948-12-27	1	2
6835533	1967-11-23	3	2
6941815	1952-11-20	3	1
7088888	1969-11-27	1	1
6895913	1955-06-28	3	1
6940637	1968-06-21	1	1
6107966	1977-01-31	3	1
6141527	1958-09-12	3	1
6323687	1960-07-16	1	1
6328507	1959-08-31	3	3
7387771	1964-06-02	3	2
7402235	1952-08-15	3	1
6675870	1961-07-27	1	1
6980853	1963-08-05	1	1
7007555	1949-12-01	3	1
7271923	1973-11-16	1	4
7275212	1965-07-22	3	1
7140030	1962-02-07	3	1
7151418	1967-08-30	1	2
7180444	1964-08-18	1	1
7192799	1965-08-14	3	1
7288456	1941-01-07	1	1
7322588	1972-01-29	3	1
6853854	1967-05-10	1	2
7331132	1976-03-07	3	1
7335366	1987-10-24	3	1
7337903	1970-10-15	3	2
6306781	1977-08-22	1	1
6312378	1952-05-20	3	1
6331850	1944-01-17	1	1
7374600	1979-03-12	3	2
7051684	1973-03-12	3	1
7080801	1978-10-19	3	1
6550643	1993-12-29	3	1
7103345	1955-10-26	3	1
7121429	1976-03-01	1	1
7152467	1981-07-22	1	2
7190384	1967-06-07	1	1
7391105	1978-05-27	1	2
7385855	1972-11-18	1	2
6631926	1975-09-16	3	3
7414563	1977-10-17	1	1
7403516	1986-11-22	3	2
7412243	1971-05-13	1	1
7409029	1977-07-25	1	2
7413507	1962-01-11	1	2
7415077	1987-03-19	1	1
7419929	1967-05-31	1	1
7081037	1975-06-19	1	1
7170493	1991-09-23	1	1
7185654	1968-03-21	3	2
7424470	1994-11-14	1	1
7419767	1970-05-08	3	1
7421401	1973-07-31	3	4
7427259	1967-09-12	3	1
7431512	1975-11-05	3	1
7432558	1958-06-25	3	1
7298288	1976-02-27	3	1
7304308	1968-04-30	3	1
7322122	1976-02-26	3	4
7325855	1979-05-09	3	2
7426824	1975-07-11	1	1
7431691	1995-08-10	3	2
7344013	1987-03-04	3	2
7447850	1960-12-14	1	1
7451254	1944-12-29	3	1
7455131	1962-07-08	3	1
7440104	1971-03-21	1	4
7219737	1950-01-10	1	1
7271925	1975-08-12	1	4
7288405	1973-03-01	1	1
7295671	1968-09-11	3	4
7372270	1943-11-12	3	1
7373995	1988-01-08	3	1
7384749	1968-01-03	3	1
7388631	1977-05-16	1	1
7455659	1976-08-01	3	1
7456076	1998-02-28	3	1
7457653	1975-07-18	3	1
7439106	1979-11-17	3	1
7441117	1982-10-06	3	1
7445124	1981-11-06	3	1
7458538	1947-02-04	1	2
7254369	1955-12-26	1	1
7261855	1973-06-05	3	1
7390572	1976-09-18	3	1
7412218	1947-01-20	1	1
7412834	1963-11-17	3	1
7462425	1977-04-29	3	1
7464676	1967-09-08	3	1
7468737	1949-12-03	3	1
7468838	1967-08-13	3	1
7476084	1966-03-22	3	4
7476894	1947-08-18	1	1
7326733	1991-10-15	3	1
7466628	1957-07-19	1	1
7471481	1976-02-29	1	4
7417645	1994-05-23	1	2
7420486	1973-08-16	1	1
7479261	1947-06-11	3	1
7480748	1983-10-12	3	1
7482887	1998-01-18	1	2
7431018	1973-02-22	3	1
7048251	1992-11-14	3	3
7112159	1973-02-22	3	1
7495375	1959-06-23	3	1
7496524	1946-02-11	1	1
7438098	1950-05-21	1	3
7445514	1987-01-31	3	1
7382677	1957-07-07	3	1
7447761	1976-08-28	3	1
6821114	1942-09-09	1	1
6828139	1990-04-10	1	1
6881732	1954-03-09	1	2
7063748	1947-05-18	1	1
7480860	1954-08-02	1	1
7486035	1990-01-12	1	4
7457812	1959-12-01	3	1
7464613	1959-03-29	3	1
7395005	1982-01-31	3	1
7469703	1964-12-31	1	2
7472280	1983-09-08	3	1
7472422	1998-10-14	3	1
7472527	1970-11-14	1	1
7415592		1	2
7417666	1973-04-12	1	2
7419992	1971-02-02	3	1
7420781	1976-10-07	1	1
7424603	1974-10-06	3	1
7425509	1945-10-17	1	2
7431590	1966-10-06	3	2
7434665	1971-03-22	3	1
7469138	1969-08-03	1	1
7469257	1990-03-03	1	1
7471176	1957-11-02	1	2
7437461	1974-11-05	1	2
7324265	1953-02-13	1	3
7326721	1989-01-23	1	1
7345978	1969-01-23	3	2
7356215	1958-07-26	3	1
7496604	1967-07-16	3	1
7499542	1966-11-30	3	1
7475256	1968-05-17	3	1
7475517	1979-08-05	3	1
7477077	1976-09-09	3	1
7503775	1970-11-08	3	4
