traveler_id	reservation_id	reservation_date	package_type	departure_date	departure_code	arrival_code	arrival_country	return_date	carrier_id	no_of_adults	no_of_kids
8066822	3dae89e2133e2e6734c0eca07846ff2e57079ba77800059caddeb0cb2349bcc1	2017-09-04	STP	2017-09-14	OSL	SMI	Greece	2017-09-21	246	2	0
7612471	33099e82865f00c713987276da184bee2e742757b05f80fbaced5845bdc6d9fe	2017-01-25	STP	2017-06-16	GOT	AHO	Italy	2017-06-23	246	2	2
6635207	19edda1fedb1a1e6777a055238febb7ecc64e87b60583e5bcd1c2bb57edf3df1	2018-08-16	STP	2018-09-09	ARN	HER	Greece	2018-09-16	246	2	1
8668860	27798ab2976d9db73fefb47140a441af478c1fff10d26eef1d3a203943f3bb63	2018-07-13	STP	2018-07-26	GOT	AYT	Turkey	2018-08-09	246	2	1
6921503	d217195fd6a986fd7ead59ca9081d46f3de8e9a52779b5dd3bf23e32e0e3b9e3	2017-09-29	STP	2017-10-17	ARN	CHQ	Greece	2017-10-24	246	2	1
7963701	5c3862a34cbad89643ced4fb5c304263f5c78b0aa43e239789e707847d31e082	2017-07-15	STP	2017-07-19	ARN	LCA	Cyprus	2017-07-26	246	4	0
8496377	c714ccb98beeccb267403fe85e8b748eb5eb5e8f13360b59c8b842f19e68cab7	2018-04-12	STP	2018-07-10	OSL	RHO	Greece	2018-07-17	246	2	0
8011940	09aa7a4605c30b474908c4b2d9f9c660b95a12ca5a7dd587aab6764a5ad73018	2017-08-06	STP	2017-08-24	OSL	CTA	Italy	2017-08-31	246	2	1
8644183	225504bf069be67451f6df062e99159f2289bb419480e328f4ad079ad83b5137	2018-07-02	STP	2018-07-22	CPH	PMI	Spain	2018-07-29	246	2	0
7962062	8e5d7fb5e3c37fdd696e5dcd43a4c0eb95b6a66e53a933c77c056482da641033	2018-05-18	STP	2018-08-24	ARN	LPA	Spain	2018-08-31	997	2	1
8643796	6daedc1dd949cd1b4a179f40f73bf555c8f77cc4627c02cc5a29494ac9826e0d	2017-07-09	STP	2017-10-18	HEL	LCA	Cyprus	2017-10-25	246	2	0
